ax	ay	az	gx	gy	gz	mx	my	mz	MotorIzquierdo	MotorDerecho	DutyMotorIzquierdo	DutyMotorDerecho	roll	pitch	yaw	yaw_Gps	Bateria	TDerecho	TIzquierdo	IDerecho	IIzquierdo	WDerecho	WIzquierdo	U	UR	UL	UtR	UtL	errorR	UiR	UdR	UpR	Ui1R	errorL	UiL	UdL	UpL	Ui1L	t	KpL
0.013184	0.046875	0.849609	0.243902	-2.560976	0.792683	20.484377	181.269150	27.390236	0.000000	0.000000	50.000000	0.013184	-10.845688	-1.480721	-24.581575	-24.581575	12.923200	27.000000	30.000000	1.000000	1.000000	6.911498	6.911498	30.000000	5.872393	4.350000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.550000	1.800000	
-0.080078	0.038574	1.005859	-2.500000	0.853659	0.243902	20.484377	181.269150	27.390236	0.000000	0.000000	50.000000	-0.080078	-10.410030	-1.134035	-23.891945	-23.891945	12.923200	27.000000	30.000000	1.000000	0.000000	6.911498	6.911498	30.000000	5.872393	4.350000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.600000	1.800000	
0.002930	0.038086	1.033691	-2.500000	2.317073	0.182927	20.484377	181.269150	27.390236	0.000000	0.000000	50.000000	0.002930	-9.996840	-0.964718	-23.891945	-23.891945	12.923200	27.000000	30.000000	0.000000	1.000000	6.911498	6.492620	30.000000	5.872393	4.350000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.649999	1.800000	
-0.034180	0.072266	0.919434	-2.378049	-0.304878	-0.121951	20.484377	181.269150	27.390236	0.000000	0.000000	50.000000	-0.034180	-9.483486	-0.822477	-24.707460	-24.707460	12.925600	27.000000	30.000000	0.000000	1.000000	6.911498	6.911498	30.000000	5.872393	4.350000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.699999	1.800000	
-0.021484	-0.007812	0.912598	-0.670732	-2.134146	0.914634	21.196877	181.269150	28.423830	0.000000	0.000000	50.000000	-0.021484	-9.151645	-0.806134	-24.240217	-24.240217	12.923200	27.000000	30.000000	0.000000	1.000000	6.911498	6.492620	30.000000	5.872393	4.350000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.749999	1.800000	
0.009277	0.054199	0.966797	-0.853659	0.304878	0.000000	21.196877	181.269150	28.423830	0.000000	0.000000	50.000000	0.009277	-8.665056	-0.771924	-24.284294	-24.284294	12.923200	27.000000	31.000000	2.000000	1.000000	6.911498	6.492620	30.000000	5.872393	4.350000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.799999	1.800000	
-0.107910	0.015625	0.895996	0.243902	-0.548781	0.000000	21.196877	181.269150	28.423830	0.000000	0.000000	50.000000	-0.107910	-8.258060	-0.415462	-24.284294	-24.284294	12.923200	27.000000	31.000000	3.000000	1.000000	6.492620	6.492620	30.000000	5.872393	4.350000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.849999	1.800000	
-0.065918	0.055176	0.965332	-1.158537	-1.585366	0.243902	23.334375	182.344925	26.701174	0.000000	0.000000	50.000000	-0.065918	-7.828904	-0.271948	-24.592241	-24.592241	12.923200	27.000000	31.000000	1.000000	2.000000	6.911498	6.073740	30.000000	5.872393	4.350000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.899999	1.800000	
0.017578	0.069336	0.970215	-2.012195	1.585366	-0.121951	23.334375	182.344925	26.701174	0.000000	0.000000	50.000000	0.017578	-7.423274	-0.224728	-24.296490	-24.296490	12.904000	27.000000	31.000000	1.000000	1.000000	7.330377	6.073740	30.000000	5.872393	4.350000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.949999	1.800000	
0.045410	0.077148	0.912598	0.121951	0.548781	0.426829	20.840626	183.779297	28.423830	0.000000	0.000000	50.000000	0.045410	-6.893859	-0.316720	-24.128403	-24.128403	12.923200	27.000000	31.000000	1.000000	1.000000	6.911498	6.492620	30.000000	5.872393	4.350000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.999999	1.800000	
-0.090820	0.046387	1.007324	-3.048780	0.426829	0.182927	20.840626	183.779297	28.423830	0.000000	0.000000	50.000000	-0.090820	-6.657169	-0.016938	-24.128403	-24.128403	12.853600	27.000000	31.000000	1.000000	1.000000	6.911498	6.492620	30.000000	5.872393	4.350000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.049999	1.800000	
-0.078125	0.038574	0.931641	-0.975610	-0.914634	0.426829	20.840626	183.779297	28.423830	0.000000	0.000000	50.000000	-0.078125	-6.342142	0.184701	-24.376469	-24.376469	12.923200	27.000000	31.000000	0.000000	1.000000	7.330377	6.073740	30.000000	5.872393	4.350000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.099999	1.800000	
-0.007324	0.057129	0.924805	-1.280488	1.097561	0.243902	20.840626	184.137894	25.667580	0.000000	0.000000	50.000000	-0.007324	-5.998233	0.261861	-24.227745	-24.227745	12.923200	27.000000	31.000000	0.000000	1.000000	6.911498	6.073740	30.000000	5.872393	4.350000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.149999	1.800000	
-0.043457	0.049316	0.992188	0.000000	-2.560976	0.304878	20.840626	184.137894	25.667580	0.000000	0.000000	50.000000	-0.043457	-5.641801	0.255096	-23.976477	-23.976477	12.923200	27.000000	31.000000	0.000000	1.000000	6.911498	6.073740	30.000000	5.872393	4.350000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.199999	1.800000	
-0.027344	0.048828	0.974121	-2.317073	-0.060976	0.182927	20.840626	184.137894	25.667580	0.000000	0.000000	50.000000	-0.027344	-5.417490	0.327927	-23.976477	-23.976477	12.923200	27.000000	31.000000	0.000000	1.000000	6.911498	6.073740	30.000000	5.872393	4.350000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.249999	1.800000	
-0.068359	0.023438	0.954102	-1.097561	0.670732	0.304878	20.840626	184.137894	25.667580	0.000000	0.000000	50.000000	-0.068359	-5.215352	0.557180	-24.102234	-24.102234	12.923200	27.000000	30.000000	0.000000	1.000000	6.911498	6.492620	30.000000	5.872393	4.350000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.299999	1.800000	
-0.031738	0.070801	0.929199	-0.853659	-1.341463	0.000000	20.840626	184.137894	25.667580	0.000000	0.000000	50.000000	-0.031738	-4.865462	0.567943	-23.794836	-23.794836	12.868000	27.000000	30.000000	0.000000	1.000000	7.330377	6.492620	30.000000	5.872393	4.350000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.349999	1.800000	
0.028320	0.000977	0.934082	-2.987805	0.609756	0.548781	21.731251	183.958603	27.562502	0.000000	0.000000	50.000000	0.028320	-4.850249	0.494977	-23.962488	-23.962488	12.923200	27.000000	30.000000	1.000000	1.000000	7.330377	6.073740	30.000000	5.872393	4.350000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.399999	1.800000	
-0.027832	0.041016	0.991699	-1.036585	1.524390	0.121951	21.731251	183.958603	27.562502	0.000000	0.000000	50.000000	-0.027832	-4.625555	0.634773	-23.962488	-23.962488	12.923200	27.000000	30.000000	1.000000	1.000000	7.330377	6.492620	30.000000	5.872393	4.350000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.449999	1.800000	
-0.022461	0.064941	0.897461	-0.304878	-1.219512	0.304878	20.840626	183.420715	28.079298	0.000000	0.000000	50.000000	-0.022461	-4.287825	0.623284	-24.398136	-24.398136	12.923200	27.000000	30.000000	1.000000	1.000000	7.330377	6.073740	30.000000	5.872393	4.350000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.499999	1.800000	
-0.011230	-0.020020	1.002930	-1.951220	-1.036585	0.243902	20.840626	183.420715	28.079298	0.000000	0.000000	50.000000	-0.011230	-4.309181	0.581822	-24.455435	-24.455435	12.923200	27.000000	30.000000	0.000000	1.000000	6.911498	6.492620	30.000000	5.872393	4.350000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.549999	1.800000	
0.013184	0.010742	0.949707	-1.341463	0.182927	0.609756	20.840626	183.420715	28.079298	0.000000	0.000000	50.000000	0.013184	-4.210541	0.533770	-24.455435	-24.455435	12.923200	27.000000	31.000000	1.000000	1.000000	6.911498	6.492620	30.000000	5.872393	4.350000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.599999	1.800000	
-0.102051	0.066406	0.939941	-2.500000	3.170732	-0.243902	21.018751	183.600006	28.596096	0.000000	0.000000	50.000000	-0.102051	-4.010633	0.978735	-24.341089	-24.341089	12.923200	27.000000	31.000000	1.000000	1.000000	6.492620	6.492620	30.000000	5.872393	4.350000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.649999	1.800000	
-0.103027	0.026855	0.985840	-2.439024	-0.365854	0.426829	21.018751	183.600006	28.596096	0.000000	0.000000	50.000000	-0.103027	-3.938213	1.216632	-24.018869	-24.018869	12.923200	27.000000	31.000000	3.000000	0.000000	6.492620	6.492620	30.000000	5.872393	4.350000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.699999	1.800000	
-0.052246	0.111816	1.004395	-0.731707	0.975610	0.182927	20.306252	183.600006	27.562502	0.000000	0.000000	50.000000	-0.052246	-3.548922	1.361331	-24.341089	-24.341089	12.923200	27.000000	31.000000	2.000000	1.000000	6.911498	6.492620	30.000000	5.872393	4.350000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.749999	1.800000	
0.023926	-0.003906	0.964355	-1.219512	0.487805	-0.060976	20.306252	183.600006	27.562502	0.000000	0.000000	50.000000	0.023926	-3.525936	1.256569	-24.341089	-24.341089	12.918400	27.000000	30.000000	1.000000	1.000000	6.911498	6.073740	30.000000	5.872393	4.350000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.799999	1.800000	
-0.085938	0.023438	0.971680	-0.914634	-1.524390	1.158537	20.306252	183.600006	27.562502	0.000000	0.000000	50.000000	-0.085938	-3.408634	1.380231	-24.398136	-24.398136	12.923200	27.000000	30.000000	1.000000	1.000000	6.911498	6.492620	30.000000	5.872393	4.350000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.849998	1.800000	
-0.010254	0.025391	0.982422	-2.621951	1.341463	-0.182927	21.196877	184.137894	27.045704	0.000000	0.000000	50.000000	-0.010254	-3.378460	1.416658	-24.284294	-24.284294	12.923200	27.000000	30.000000	1.000000	1.000000	6.911498	6.911498	30.000000	5.872393	4.350000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.899998	1.800000	
-0.027832	0.032227	0.929199	-2.621951	0.670732	0.304878	21.196877	184.137894	27.045704	0.000000	0.000000	50.000000	-0.027832	-3.323924	1.474524	-24.115389	-24.115389	12.923200	27.000000	30.000000	1.000000	1.000000	6.911498	6.492620	30.000000	5.872393	4.350000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.949998	1.800000	
0.036133	0.049316	0.896973	-1.219512	-1.219512	0.000000	21.196877	184.137894	27.045704	0.000000	0.000000	50.000000	0.036133	-3.145237	1.235779	-24.115389	-24.115389	12.923200	27.000000	30.000000	0.000000	1.000000	6.911498	6.492620	30.000000	5.872393	4.350000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.999998	1.800000	
-0.006348	0.065430	0.970703	-0.792683	0.731707	0.487805	21.196877	184.137894	27.045704	0.000000	0.000000	50.000000	-0.006348	-2.919057	1.240079	-24.409775	-24.409775	12.923200	27.000000	30.000000	0.000000	1.000000	7.330377	6.492620	30.000000	5.872393	4.350000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	3.049998	1.800000	
-0.075684	0.023438	0.931152	-2.073171	0.487805	-0.304878	21.196877	184.137894	27.045704	0.000000	0.000000	50.000000	-0.075684	-2.888068	1.440908	-24.171444	-24.171444	12.923200	27.000000	30.000000	0.000000	1.000000	7.330377	6.492620	30.000000	5.872393	4.350000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	3.099998	1.800000	
